nameCd,group,growthForm,size,part_Name1,part_Text1,part_Name2,part_Text2,part_Name3,part_Text3,part_Name4,part_Text4,part_Name5,part_Text5,part_Name6,part_Text6,part_Name7,part_Text7,part_Name8,part_Text8,part_Name9,part_Text9,part_Name10,part_Text10,simSp_comments,simSp_nameCd1,simSp_nameCd2,simSp_nameCd3,simSp_nameCd4,simSp_nameCd5,simSp_nameCd6,simSp_linkUri1,simSp_linkText1,simSp_linkUri2,simSp_linkText2,flowering,habitatEcology,nativity,notes_comments,notes_linkUri1,notes_linkText1,notes_linkUri2,notes_linkText2,notes_linkUri3,notes_linkText3,etymology_comments,etymology_linkUri1,etymology_linkText1,etymology_linkUri2,etymology_linkText2,etymology_linkUri3,etymology_linkText3,furtherInfo_comments,furtherInfo_linkUri1,furtherInfo_linkText1,furtherInfo_linkUri2,furtherInfo_linkText2,furtherInfo_linkUri3,furtherInfo_linkText3,furtherInfo_linkUri4,furtherInfo_linkText4,furtherInfo_linkUri5,furtherInfo_linkText5,furtherInfo_linkUri6,furtherInfo_linkText6,furtherInfo_linkUri7,furtherInfo_linkText7,furtherInfo_linkUri8,furtherInfo_linkText8,furtherInfo_linkUri9,furtherInfo_linkText9,furtherInfo_linkUri10,furtherInfo_linkText10,references_citation1,references_citation2,references_citation3,references_citation4,references_citation5,references_citation6,references_citation7,references_citation8,references_citation9,references_citation10,references_linkUri1,references_linkText1,references_linkUri2,references_linkText2,references_linkUri3,references_linkText3,references_linkUri4,references_linkText4,references_linkUri5,references_linkText5,references_linkUri6,references_linkText6,references_linkUri7,references_linkText7,references_linkUri8,references_linkText8,references_linkUri9,references_linkText9,references_linkUri10,references_linkText10,ilBn,ilCk,ilDk,ilDp,ilGd,ilKd,ilKk,ilKn,ilLk,ilMh,ilWl,inJs,inLk,inLp,inNt,inPt,inSj,inSk,miBr,wiKs,wiMw,wiRc,wiWk,wiWw
TIAMH,PLANT,DUMMYDATA,"Medium-sized to large tree, 18 - 25 m tall, trunk diameter 40 cm - 1 m. Trunk straight, crown broadly rounded. Sprouts often found at the base of living trees.",Bark,"brown, thick, deeply furrowed into long, narrow, flat-topped, scaly ridges; ridges nearly parallel, sometimes interlacing.",Twigs,"slender, stout, pale reddish brown, somewhat zigzagged, smooth. Leaf scars half-elliptical, with 3 or more bundle scars.",Buds,"lustrous green or reddish brown, 6 mm long, egg-shaped, pointed, lopsided, smooth. Bud scales usually 2.",Leaves,"alternate, stalked, green and smooth above, densely hairy beneath, 12 - 15 or more cm long, about half as wide, obliquely heart-shaped, lobes unequal, base asymmetrical, tip pointed, margins coarsely toothed, thin, firm.",Flowers,"have both male and female reproductive organs (perfect); borne in drooping clusters on a long, slender stalk attached to a yellowish, paddle-shaped bract; greenish yellow to white, small, hairy, sepals 5, petals 5, fragrant, insect-pollinated.",Fruit,,,"a hard, woody nut; in clusters on a long, slender stalk attached to a yellowish, paddle-shaped bract; reddish brown, 6 mm in diameter, spherical with a short point at the tip, finely hairy.",,,,,,,The dense coat of hairs on the underside of the leaves distinguishes <i>Tilia americana</i> var. <i>heterophylla</i> from <i>T. americana</i>.,TIAM,,,,,,,,,,Mid June to mid July.,Dry to moist woods.,native,"The wood of <i>Tilia americana</i> var. <i>heterophylla</i> is not very durable, but is used for boxes, crates, furniture parts, interior trim, veneer, plywood, pulp, fuel, and hand carving. Although planted as an ornamental, European species are more commonly used. Native Americans made rope from the bark of its young stems.",,,,,,,<i>Tilia</i> is the Latin name for the linden or basswood tree. <i>Americana</i> means “from America” (North or South). <i>Heterophylla</i> means “diversely leaved.”,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,,,,,,,,,,,,,,,,,,,,,
TIAM,PLANT,DUMMYDATA,"Medium-sized to large tree, 18 - 25 m tall, trunk diameter 40 cm - 1 m. Trunk straight, crown broadly rounded. Sprouts often found at the base of living trees.",Bark,"brown, thick, deeply furrowed into long, narrow, flat-topped, scaly ridges; ridges nearly parallel, sometimes interlacing.",Twigs,"slender, stout, gray or brown, somewhat zigzagged, smooth. Leaf scars half-elliptical, with 3 or more bundle scars.",Buds,"lustrous green or reddish brown, 6 mm long, egg-shaped, pointed, lopsided, smooth. Bud scales usually 2.",Leaves,"alternate, stalked, green and smooth above, paler and smooth or with tufts of hair beneath, 12 - 15 or more cm long, 7 - 10 cm wide, obliquely heart-shaped, lobes unequal, base asymmetrical, tip pointed, margins coarsely toothed, thin, firm.",Flowers,"have both male and female reproductive organs (perfect); borne in drooping clusters on a long, slender stalk attached to a yellowish, paddle-shaped bract; greenish yellow to white, small, hairy, sepals 5, petals 5, fragrant, insect-pollinated.",Fruit,,,"a hard, woody nut; in clusters on a long, slender stalk attached to a yellowish, paddle-shaped bract; light brown or gray, 6 mm in diameter, spherical with a short point at the tip, finely hairy.",,,,,,,<i>Tilia americana</i> differs from <i>T. americana</i> var. <i>heterophylla</i> by the virtual absence of hairs on the underside of its leaves.,TIAMH,,,,,,,,,,Mid June to mid July.,Very common in dry to moist woods. Also grows in the dry conditions of high dunes found near Lake Michigan and the steep slopes of riverbanks and ravines.,native,"The wood of <i>Tilia americana</i> is not very durable, but is used for boxes, crates, furniture parts, interior trim, veneer, plywood, pulp, fuel, and hand carving. Although planted as an ornamental, European species are more commonly used. Native Americans made rope from the bark of its young stems.",,,,,,,<i>Tilia</i> is the Latin name for the linden or basswood tree. <i>Americana</i> means “from America” (North or South).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,,has other records,has other records,,has other records
CEOC,PLANT,DUMMYDATA,"Medium-sized to large tree, 12 - 24 m tall, trunk diameter 25 - 40 cm. Crown rounded, with many spreading, slender branches.",Bark,"gray or light brown, thin, smooth, becoming warty, rough, and scaly with age.",Twigs,"slender, gray to reddish brown, slightly zigzag, smooth or hairy, shiny. Leaf scars crescent-shaped with 1 - 3 bundle scars.",Buds,"light brown or gray, 3 - 6 mm long, slender, egg-shaped, pointed, finely hairy.",Leaves,"alternate, with short, hairy leafstalks; shiny green above, paler with hairy veins beneath, 5 - 14 cm long, half as wide, broadly lance-shaped; asymmetrical base rounded or tapering, tip long-pointed, margins coarsely toothed except near base, thin, smooth or somewhat rough on one or both surfaces; veins in a lacelike pattern. Leaves turning light yellow in autumn.",Flowers,"either male or female, borne on the same tree (monoecious); in drooping clusters or solitary; greenish yellow, inconspicuous, without petals.",Fruit,,,"fleshy, single-seeded (drupe); borne on slender, drooping stalks; dark purple, 7 - 13 cm long, nearly round, smooth, becoming puckered and prune-like; pit wrinkled; persistent in winter.",,,,,,,"Of the two <i>Celtis</i> species found in the Chicago Region, this one is much more common. It can be distinguished from <i>Celtis tenuifolia</i> by its larger size, larger, long-tipped, coarsely toothed leaves (usually), and larger, dark purple fruits on long (1 - 2 cm) stalks. Also, the presence of hackberry nipple-gall and witches’ broom is common on <i>C. occidentalis</i>. Note: Leaves may resemble those of <i>Ulmus</i>, but <i>Celtis</i> species have three main veins arising from the base of each blade.",CETE,,,,,,,,,,"Mid-April to early May, after the leaves are partly grown.","Frequent in moist woods, often in and along floodplains of streams.",native,"The wood of <i>Celtis occidentalis</i> is used for furniture, fence posts, boxes, and crates. It is easily transplanted and valued as a lawn and park tree. A type of “witches’ broom,” caused by mites and fungi, is often seen on twigs throughout the crown, and nipple-galls are common on the leaves.",,,,,,,"<i>Celtis</i> is the Greek word for the hackberry tree (hackberry is actually a corruption of the Scottish name Hagberry, a species of cherry tree). <i>Occidentalis</i> means “of or from the West.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,,,has other records,has other records,,has other records
CETE,PLANT,DUMMYDATA,"Small tree or shrub, 2 - 7 m tall, trunk diameter 8 - 25 cm. Trunk often divided; crown irregular and asymmetrical, with many stiff, twisted, and intergrown branches.",Bark,"pale gray, thin, smooth, becoming warty, rough, and scaly with age.",Twigs,"slender, stiff, zigzag, green, becoming reddish brown to gray, smooth. Leaf scars crescent-shaped with 1 - 3 bundle scars.",Buds,"grayish brown, 1 - 2 mm long, slender, oval, pointed, finely hairy.",Leaves,"alternate, with short, often hairy leafstalks; grayish green and smooth to finely hairy above, paler and hairy beneath; 4 - 6 cm long, 2.5 - 4 cm wide, egg-shaped; base rounded, moderately asymmetrical; tip short-pointed, margins with a few coarse teeth, thick, often leathery, 3 - 5 major veins per side.",Flowers,"either male or female, borne on the same tree (monoecious); in drooping clusters or solitary; greenish yellow, inconspicuous, without petals.",Fruit,,,"fleshy, single-seeded (drupe); borne on short, drooping stalks; pinkish brown to reddish purple, 5 - 7 mm long, spherical, smooth; pit smooth; persistent in winter.",,,,,,,"Of the two <i>Celtis</i> species found in the Chicago Region, this one is rare. It can be distinguished from <i>Celtis occidentalis</i> by its smaller size, smaller, less-toothed, short-tipped leaves, smaller fruits on short (3 - 6 mm) stalks, and smooth, pinkish brown fruit. However, the leaves can be extremely variable, as some may or may not be as toothed, hairy, or leathery as others. Note: Leaves may resemble those of <i>Ulmus</i>, but <i>Celtis</i> species have three main veins arising from the base of each blade.",CEOC,,,,,,,,,,"May, after the leaves are partly grown.","In the Chicago Region, <i>Celtis tenuifolia</i> is known only to occur in Lake and Porter counties in Indiana. There it grows in the dune area of Lake Michigan, in calcareous sands near the lake. Outside the region, it is characteristic of dry-mesic to dry sites.",native,"Although <i>tenuifolia</i> means “thin leaf,” the leaves actually vary in thickness. The wood is used for fence posts, but has no real commercial value.",,,,,,,"<i>Celtis</i> is the Greek word for the hackberry tree (hackberry is actually a corruption of the Scottish name Hagberry, a species of cherry tree). <i>Tenuifolia</i> is Latin for “thin leaf.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,,has other records,,,,,,,,
ULAM,PLANT,DUMMYDATA,"Large tree to 20 - 30 m tall, trunk diameter 0.5 - 1.2 m. Trunk commonly divided into a few large trunks, and forked into many spreading branches with drooping ends, which form a broad, rounded, flat-topped, or vase-shaped crown.",Bark,"ashy gray, thick, furrowed into broad, interlacing, scaly ridges; with alternating light and dark colored bands in cross section.",Twigs,"slender, firm, light green, becoming ashy gray; smooth or sparsely hairy. Leaf scars half-round, covered with a corky layer, having 3 bundle scars.",Buds,"reddish brown, 3 - 6 mm long, broadly egg-shaped, blunt to pointed, flattened, smooth or slightly hairy.",Leaves,"alternate, with short, stout, yellowish leafstalks; dark green and sometimes rough above, pale and usually softly hairy beneath; 10 - 15 cm long, half as wide, oval to elliptic, base asymmetrical, tip pointed, margins coarsely doubly-toothed, thick, firm, veins rarely forked. Leaves turning yellow in autumn. Note: leaf morphology is highly variable for this species.",Flowers,"with both male and female reproductive organs (perfect); in loose, drooping clusters; brownish red, small, calyx bell-shaped.",Fruit,,,"single-seeded, winged (samara); in crowded clusters; long-stalked, 1.2 cm long, oval, margin hairy, tip deeply notched.",,,,,,,"<i>Ulmus procera</i> has smaller leaves (5 - 8 cm long) and hairless samaras. <i>Ulmus pumila</i> also has smaller leaves (3 - 7 cm long), which are not distinctly asymmetrical at the base or doubly-toothed. <i>Ulmus rubra</i> has very rough leaves, forked veins near the leaf margin, rusty-colored bud hairs, and brown, hairy seed cavities. <i>Ulmus thomasii</i> has corky wings on the twigs, leaves with a nearly symmetrical base, and hairy samaras. Characteristics of the hybrid <i>U. x notha</i> are intermediate of the two parents, <i>U. pumila</i> and <i>U. rubra</i>. The most distinctive features are the middle bud scales fringed with white hairs and the terminal scales fringed with reddish brown hairs. <i>Celtis</i> leaves, which are similar in appearance, have three main veins arising from the base of each blade.",ULPR,ULPU,ULRU,ULTH,ULNO,,,,,,"March to mid-May, before the leaves.","Common in rich woods, wooded floodplains, and along streams, but can be found in a wide variety of soil types.",native,"<i>Ulmus americana</i> is frequently planted as an ornamental and shade tree. Because of its attractive vase-shaped branching, this species was planted extensively along town and city streets by early Europeans, forming beautiful cathedral-like avenues. Since the mid-1950’s, both the street plantings and the wild populations in the Chicago Region have been severely decimated by Dutch elm disease and phloem necrosis. Today, disease-resistant clones and hybrids are available for planting. The wood of <i>Ulmus americana</i> is used for furniture, flooring, boxes, crates, barrels, veneer, and shipbuilding. See link to Dutch elm disease below. ",Dutch Elm Disease,http://www.mortonarb.org/plantinfo/plantclinic/diseases_dutchelm.pdf,,,,,<i>Ulmus</i> is the Latin word for elm. <i>Americana</i> means “of or from America” (North or South).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,,has other records,has other records,,has other records
ULPR,PLANT,DUMMYDATA,"Large tree, to 40 m tall, trunk diameter to 0.9 m. Trunk straight and persisting halfway or more into the crown. Crown dense, broad, and rounded with ascending branches.",Bark,"gray, deeply furrowed into rectangular plates.",Twigs,"thin, dark reddish brown, hairy when young; older branchlets may have corky wings.",Buds,"dark smoky brown, 2 - 3 mm long, egg-shaped, slightly hairy.",Leaves,"alternate, long-stalked (leafstalk hairy), dark green, paler beneath, 5 - 8 cm long, 3 - 5 cm wide, broadly elliptical, base asymmetrical, tip short-pointed, margin doubly-toothed, rough above, soft-hairy beneath with tufts in vein axils. Leaves turning yellow and shedding in late autumn.",Flowers,"tightly clustered along twigs, dark red, 3 mm long.",Fruit,,,"single-seeded, winged (samara); short-stalked; 1 - 1.2 cm wide, round, flat, notched at the tip, hairless.",,,,,,,"<i>Ulmus procera</i> is distinguished from the region’s native elms by having much smaller leaves (5 - 8 cm long). The samaras of <i>U. americana</i> have hairy margins. <i>Ulmus pumila</i> has smooth leaves that are not distinctly asymmetrical at the base or doubly-toothed. <i>Ulmus rubra</i> has very rough leaves, forked veins near the leaf margin, rusty-colored bud hairs, and brown, hairy seed cavities. <i>Ulmus thomasii</i> has corky wings on the twigs (<i>U. procera</i> may show corky wings on older twigs), leaves with a nearly symmetrical base, and hairy samaras. Characteristics of the hybrid <i>U. x notha</i> are intermediate of the two parents, <i>U. pumila</i> and <i>U. rubra</i>. The most distinctive features are the middle bud scales fringed with white hairs and the terminal scales fringed with reddish brown hairs. <i>Celtis</i> leaves, which are similar in appearance, have three main veins arising from the base of each blade.",ULAM,ULPU,ULRU,ULTH,ULNO,,,,,,Spring,"<i>Ulmus procera</i> is not known to have naturalized in the Chicago Region, but might be seen in moist soils along roadsides, forest borders, and thickets as an escape from cultivation.",non-native,"<i>Ulmus procera</i>, brought here from Europe, was planted extensively in colonial times and has since escaped in more than a dozen states. Reproducing from suckers, it’s apparently a sterile species. This elm, as well as all native elm species, is susceptible to Dutch elm disease and phloem necrosis. See link to Dutch elm disease below.",Dutch Elm Disease,http://www.mortonarb.org/plantinfo/plantclinic/diseases_dutchelm.pdf,,,,,<i>Ulmus</i> is the Latin word for elm. <i>Procera</i> means tall.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,has other records,,,,,,,,,,,,,,,,,,,,
ULPU,PLANT,DUMMYDATA,"Medium-sized to large tree, 18 - 26 m tall, trunk diameter 38 cm - 0.9 m. Trunk short, thick, soon dividing into several large, wide-spreading limbs. Crown open, broadly rounded, having many dead branches.",Bark,"dark gray or brown, thick, deeply fissured with a network of broad, interlacing ridges. Orange inner bark layer visible in fissures.",Twigs,"slender, brittle, green becoming grayish brown, smooth. Leaf scars half-round, covered with a corky layer, having 3 bundle scars.",Buds,"dark reddish brown, 1 - 3 mm long, oblong to spherical, somewhat hairy; flower buds numerous, relatively large, spherical.",Leaves,"alternate, short-stalked, dark green and shiny above, paler beneath; 3 - 7 cm long, half as wide, elliptical to elliptical lance-shaped; base slightly asymmetrical, tapering or rounded; tip short-pointed, margins singly-toothed, thin, firm, smooth on both surfaces.",Flowers,"with both male and female reproductive organs (perfect); in drooping, crowded clusters; short-stalked, greenish, small, without petals.",Fruit,,,"single-seeded, winged (samara), 1 - 1.5 cm long, nearly round, not notched at the tip, smooth.",,,,,,,"<i>Ulmus pumila</i> is distinguished from the Chicago Region’s native elms by its small (3 - 7 cm long), smooth, singly toothed leaves and hairless samaras. Characteristics of the hybrid <i>U. x notha</i> are intermediate of <i>U. pumila</i> and its other parent, <i>U. rubra</i>. The most distinctive features are the middle bud scales fringed with white hairs and the terminal scales fringed with reddish brown hairs. <i>Celtis</i> leaves, which are similar in appearance, have three main veins arising from the base of each blade.",ULNO,,,,,,,,,,"Late March to mid-April, before the leaves.","Widely planted because of its fast growth, this weedy species has seeded itself freely in the waste ground of cities, towns, farms, and on railroad ballast. It can form thickets with hundreds of seedlings, and will grow in a variety of soil types.",non-native,"Introduced from Asia, <i>Ulmus pumila</i> is grown chiefly as an ornamental, but is undesirable as a lawn and street tree because dead branchlets are constantly shedding. However, <i>U. pumila</i> has a high resistance to Dutch elm disease and phloem necrosis.",,,,,,,<i>Ulmus</i> is the Latin word for elm. <i>Pumila</i> means dwarf.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,,has other records,has other records,,has other records
ULRU,PLANT,DUMMYDATA,"Medium-sized tree to 15 - 24 m tall, trunk diameter 30 cm - 0.6 m. Crown broadly rounded or occasionally flat-topped, with spreading, ascending branches.",Bark,"dark reddish brown, thick, shallowly furrowed into large, loose plates. Inner bark moist and slippery, especially when chewed.",Twigs,"rather stout, bright green becoming reddish brown, with short, gray hairs. Leaf scars half-round, covered with a corky layer, having 3 bundle scars.",Buds,"dark brown to black, 4 - 6 mm long, nearly round, blunt, with rusty colored hairs, especially at the tip; flower buds conspicuous, spherical.",Leaves,"alternate, with stout, short, hairy leafstalks; green and very rough-hairy above, paler and hairy beneath; 10 - 17 cm long, half as wide, oval to elliptical, base asymmetrical, tip pointed, margins coarsely doubly-toothed, thick, firm, veins forked near the margin.",Flowers,"with both male and female reproductive organs (perfect); in drooping clusters, greenish, small, calyx bell-shaped.",Fruit,,,"single-seeded, winged (samara); in dense clusters; short-stalked, 2 cm long, oval, seed cavity brown and hairy, wings smooth, shallowly notched at the tip.",,,,,,,"The rough, sandpaper-like texture and asymmetrical base of the leaves distinguishes <i>Ulmus rubra</i> from all others elms in the Chicago Region. The leaf veins of <i>U. americana</i> rarely fork, as does <i>U. rubra</i>, and its samaras have hairy margins. <i>Ulmus procera</i> has smaller leaves (5 - 8 cm long) and hairless samaras. <i>Ulmus pumila</i> also has smaller leaves (3 - 7 cm long), which are not distinctly asymmetrical at the base or doubly-toothed. <i>Ulmus thomasii</i> has corky wings on the twigs and leaves with a nearly symmetrical base. Characteristics of the hybrid <i>U. x notha</i> are intermediate of <i>U. rubra</i> and its other parent, <i>U. pumila</i>. The most distinctive features are the middle bud scales fringed with white hairs and the terminal scales fringed with reddish brown hairs. <i>Celtis</i> leaves, which are similar in appearance, have three main veins arising from the base of each blade.",ULAM,ULPR,ULPU,ULTH,ULNO,,,,,,"Late March to late April, before the leaves.","Frequent in woodlands, often along streams. Second-growth saplings are commonly seen along woodland borders. Has also been found growing in fens and other mesic sites.",native,"The slippery inner bark of <i>Ulmus rubra</i> forms a moist mass when chewed, and was once used as a thirst quencher. The wood is used for furniture, boxes, crates, barrels, veneer farm implements, fence posts, and shipbuilding. This elm, as well as all native elm species, is susceptible to Dutch elm disease and phloem necrosis. See link to Dutch elm disease below.",Dutch Elm Disease,http://www.mortonarb.org/plantinfo/plantclinic/diseases_dutchelm.pdf,,,,,"<i>Ulmus</i> is the Latin word for elm. <i>Rubra</i> means red, referring to the rust colored hairs on its buds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,,has other records,has other records,has other records,has other records,has other records,has other records,has other records
ULTH,PLANT,DUMMYDATA,"Medium-sized tree to 15 - 22 m tall, trunk diameter 30 cm - 0.6 m. Trunk extends unbranched well into the crown. Crown narrow, oblong, with drooping branches.",Bark,"grayish brown, thick, with wide fissures between broad, flat-topped, interlacing, scaly ridges. Outer bark with alternating light and dark colored bands in cross section.",Twigs,"slender, brown, becoming grayish brown, smooth or finely hairy, with irregular corky, wing-like ridges. Leaf scars half-round, covered with a corky layer, having 4 - 6 bundle scars.",Buds,"brown, 6 mm long, lance-shaped, pointed, scale margins hairy.",Leaves,"alternate, with short, hairy leafstalks; green, smooth, shiny above, paler and hairy beneath, 7 - 14 cm long, half as wide, oval to oblong; base rounded, nearly symmetrical; tip pointed, margins doubly-toothed, firm, many closely spaced veins. Leaves turning yellow in autumn.",Flowers,"with both male and female reproductive organs (perfect); in loose, drooping clusters; greenish red, small, calyx bell-shaped.",Fruit,,,"single-seeded, winged (samara), 1 - 2 cm long, oval, hairy, shallowly notched at the tip; seed cavity indistinct.",,,,,,,"<i>Ulmus thomasii</i> is distinguished by having corky-winged twigs, leaves with a nearly symmetrical base, and hairy samaras. <i>Ulmus americana</i> has leaves with an asymmetrical base and samaras with hairy margins. <i>Ulmus procera</i> has smaller leaves with an asymmetrical base (5 - 8 cm long), and hairless samaras. <i>Ulmus pumila</i> also has smaller leaves (3 - 7 cm long), which are singly-toothed. <i>Ulmus rubra</i> has very rough leaves, forked veins near the leaf margin, rusty-colored bud hairs, and brown, hairy seed cavities. Characteristics of the hybrid <i>U. x notha</i> are intermediate of the two parents, <i>U. pumila</i> and <i>U. rubra</i>. The most distinctive features are the middle bud scales fringed with white hairs and the terminal scales fringed with reddish brown hairs. <i>Celtis</i> leaves, which are similar in appearance, have three main veins arising from the base of each blade.",ULAM,ULPR,ULPU,ULRU,ULNO,,,,,,"Spring, before the leaves.","Local in rich calcareous woods, often near streams; associated with hillside seeps. Has also been found in floodplains and fens.",native,"The wood of <i>Ulmus thomasii</i> is used for boat frames, railroad ties, farm implements, piano frames, hockey sticks, veneer, and crates. This elm, as well as all native elm species, is susceptible to Dutch elm disease and phloem necrosis. See link to Dutch elm disease below.",Dutch Elm Disease,http://www.mortonarb.org/plantinfo/plantclinic/diseases_dutchelm.pdf,,,,,<i>Ulmus</i> is the Latin word for elm. <i>Thomasii</i> refers to the botanist David Thomas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,,,has other records,,has other records,,,has other records,,,,,,,has other records,,,,,,
ULNO,PLANT,DUMMYDATA,"Tree, to 20 m tall.",Bark,"reddish or dark reddish brown, fissured.",Twigs,grayish brown.,Buds,"reddish brown, short, rounded, blunt, middle scales fringed with white hairs, terminal scales fringed with reddish brown hairs.",Leaves,"alternate, stalked, dark green above, paler below, 5 - 12 cm long, 3 - 6.5 cm wide, elliptical, base mostly symmetrical, tip pointed, margins mostly doubly-toothed, usually rough above.",Flowers,"with both male and female reproductive organs (perfect); in drooping clusters; short-stalked, small.",Fruit,,,"single-seeded, winged (samara); short-stalked, nearly round.",,,,,,,"Characteristics of <i>Ulmus x notha</i> are intermediate of the two parents, <i>U. pumila</i> and <i>U. rubra</i>. The most distinctive features are the middle bud scales fringed with white hairs and the terminal scales fringed with reddish brown hairs. It differs from <i>U. pumila</i> by having the middle bud scales fringed with white hairs and leaves commonly more pointed. It differs from <i>U. rubra</i> by lacking stiff hairs on the leafstalks and by having nearly symmetrical leaf bases.",ULPU,ULRU,,,,,,,,,Mid April,"Common in the western suburbs of Chicago, where <i>Ulmus pumila</i> is commonly planted and grows as an escape. It has been found in woodland edges, fields, degraded fens, razed homesites, gravelly waste ground, and along lakes and streams.",non-native,"<i>Ulmus x notha</i> is the hybrid between <i>U. pumila</i> and <i>U. rubra</i>. It can produce viable seed and backcross with either parent. This elm, as well as all native elm species, is susceptible to Dutch elm disease and phloem necrosis. See link to Dutch elm disease below.",Dutch Elm Disease,http://www.mortonarb.org/plantinfo/plantclinic/diseases_dutchelm.pdf,,,,,<i>Ulmus</i> is the Latin word for elm.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,,has other records,,,,has other records,,,,,,,,,,,,,
SAPU4,PLANT,DUMMYDATA,"Perennial herb, 20 cm - 0.6 m tall, with little or no aboveground stem.",Leaves,"basal, reddish green, often purple-veined, 10 - 30 cm long, 1 - 5 cm wide, pitcher-shaped, hollow, curved, terminal lip broad, inside covered with stiff, downward-pointing hairs.",Scape,"(a flowering stem rising from the base) 10 - 40 cm tall, leafless.",Flowers,"solitary on a leafless stalk, nodding, 5 - 7 cm wide; sepals 5, petal-like, yellowish green to purplish red; petals 5, purplish red; stamens numerous; style umbrella-like; petals fall early, but sepals remain.",Fruit,a capsule with winged seeds.,,,,,,,,,,,,,This plant is unmistakable and has no relatives in the Chicago Region.,,,,,,,,,,,Mid May to early June.,"Local in Sphagnum bogs. Although usually found in acidic habitats, it also occurs in alkaline habitats. <i>Sarracenia purpurea</i> is probably extirpated in Lake County, Indiana.",native,"<i>Sarracenia purpurea</i> is a carnivorous plant, consuming insects, isopods, spiders, mites, and occasionally small frogs. The pitcher-like leaves collect water, and organisms going into them have difficulty crawling out because of the down-curved hairs. Eventually the organism falls into the water and drowns. Enzymes secreted by the plant help with digestion, although much of the breakdown is a result of bacterial activity. The plant then absorbs the nutrients.",,,,,,,"<i>Sarracenia</i> is for Dr. D. Sarrasin, a 17th Century French physician and botanist from Quebec who sent the first of these plants to Europe. <i>Purpurea</i> means purple.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,,,,,,,has other records,has other records,,,has other records,has other records,,has other records,has other records,has other records,has other records,,has other records,has other records,,has other records
COUM,PLANT,DUMMYDATA,"Perennial herb, 10 - 40 cm tall. Simple or branched.",Leaves,"alternate or scattered, nearly stalkless or short-stalked, pale beneath, 2 - 5 cm long, oblong.",Flowers,"in compact, terminal clusters; greenish white to whitish, 4 mm wide, radially symmetrical, funnel-shaped, tepals 5, tepals often connected to anthers by tufts of hair, petals absent, stamens 5, pistil 1, ovary 1-chambered, ovules mostly 3, stigma head-shaped.",Fruit,"a small, dry, seed-like nut.",,,,,,,,,,,,,,,"<i>Comandra umbellata</i>, the typical form of the species, is the only one found in the Chicago Region. Two subspecies, <i>C. umbellata</i> ssp. <i>californica</i> and <i>C. umbellata</i> ssp. <i>pallida</i>, occur west of the region.",COUMU,,,,,,,,,,Late April to early July.,"Found in sandy Black Oak savannas, high dunes, prairies (most characteristically), and prairie fens. Colonial by rhizomes.",native,"Although this plant manufactures much of its own food from photosynthesis, it acts as a parasite by obtaining some of its nutrients from the roots of trees and shrubs.",,,,,,,"<i>Comandra</i> derives from the Greek words <i>kome</i> (“hair”) and <i>andros</i> (“a male”), and refers to the hairy attachment of the tepals to the anthers. <i>Umbellata</i> means “furnished with umbels.”",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,has other records,,has other records,has other records,,has other records
